w Aex Asm
2.722656e+01 6.515190e-05 6.521041e-05
2.726690e+01 6.487714e-05 6.493199e-05
2.730723e+01 6.460413e-05 6.465673e-05
2.734756e+01 6.433283e-05 6.438442e-05
2.738790e+01 6.406325e-05 6.411495e-05
2.742823e+01 6.379536e-05 6.384830e-05
2.746857e+01 6.352916e-05 6.358451e-05
2.750890e+01 6.326462e-05 6.332367e-05
2.754924e+01 6.300173e-05 6.306598e-05
2.758957e+01 6.274049e-05 6.281183e-05
2.762991e+01 6.248086e-05 6.256196e-05
2.767024e+01 6.222286e-05 6.231746e-05
2.771058e+01 6.196645e-05 6.207986e-05
2.775091e+01 6.171162e-05 6.185114e-05
2.779124e+01 6.145837e-05 6.163343e-05
2.783158e+01 6.120668e-05 6.142747e-05
2.787191e+01 6.095653e-05 6.122880e-05
2.791225e+01 6.070792e-05 6.102443e-05
2.795258e+01 6.046083e-05 6.079978e-05
2.799292e+01 6.021525e-05 6.055106e-05
2.803325e+01 5.997117e-05 6.028263e-05
2.807359e+01 5.972857e-05 6.000220e-05
2.811392e+01 5.948744e-05 5.971870e-05
2.815426e+01 5.924777e-05 5.943760e-05
2.819459e+01 5.900956e-05 5.916236e-05
2.823493e+01 5.877278e-05 5.889540e-05
2.827526e+01 5.853742e-05 5.863705e-05
2.831559e+01 5.830349e-05 5.838615e-05
2.835593e+01 5.807095e-05 5.814133e-05
2.839626e+01 5.783980e-05 5.790148e-05
2.843660e+01 5.761004e-05 5.766586e-05
2.847693e+01 5.738164e-05 5.743404e-05
2.851727e+01 5.715461e-05 5.720577e-05
2.855760e+01 5.692892e-05 5.698076e-05
2.859794e+01 5.670457e-05 5.675805e-05
2.863827e+01 5.648154e-05 5.653553e-05
2.867861e+01 5.625983e-05 5.631107e-05
2.871894e+01 5.603943e-05 5.608483e-05
2.875928e+01 5.582033e-05 5.585897e-05
2.879961e+01 5.560250e-05 5.563511e-05
2.883994e+01 5.538596e-05 5.541372e-05
2.888028e+01 5.517068e-05 5.519468e-05
2.892061e+01 5.495665e-05 5.497773e-05
2.896095e+01 5.474387e-05 5.476264e-05
2.900128e+01 5.453233e-05 5.454924e-05
2.904162e+01 5.432201e-05 5.433739e-05
2.908195e+01 5.411291e-05 5.412701e-05
